backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
w2v2,asv,1,2,0,EER,0.066649,0.07614,0.009491,quants_1024/GPTQ/quants_tc1024_asv,68
w2v2,asv,2,2,0,EER,0.066649,0.078155,0.011506,quants_1024/GPTQ/quants_tc1024_asv,68
w2v2,asv,3,2,0,EER,0.066649,0.076617,0.009968,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,4,2,0,EER,0.066649,0.074125,0.007476,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,5,2,0,EER,0.066649,0.069671,0.003022,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,6,2,0,EER,0.066649,0.068717,0.002068,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,7,2,0,EER,0.066649,0.068982,0.002333,quants_1024/GPTQ/quants_tc1024_asv,68
w2v2,asv,8,2,0,EER,0.066649,0.06824,0.001591,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,9,2,0,EER,0.066649,0.06755,0.000901,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,10,2,0,EER,0.066649,0.065801,-0.000848,quants_1024/GPTQ/quants_tc1024_asv,67
w2v2,asv,11,2,0,EER,0.066649,0.068028,0.001379,quants_1024/GPTQ/quants_tc1024_asv,68
wavlm,pr,0,2,0,PER,0.050839,0.051219,0.000379,quants_1024/GPTQ/quants_tc1024_pr,735
wavlm,pr,1,2,0,PER,0.050839,0.051434,0.000595,quants_1024/GPTQ/quants_tc1024_pr,1180
wavlm,pr,2,2,0,PER,0.050839,0.051672,0.000833,quants_1024/GPTQ/quants_tc1024_pr,42
wavlm,pr,3,2,0,PER,0.050839,0.051789,0.00095,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,4,2,0,PER,0.050839,0.052293,0.001454,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,5,2,0,PER,0.050839,0.053932,0.003092,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,6,2,0,PER,0.050839,0.052534,0.001695,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,7,2,0,PER,0.050839,0.057976,0.007137,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,8,2,0,PER,0.050839,0.069446,0.018607,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,9,2,0,PER,0.050839,0.096826,0.045987,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,10,2,0,PER,0.050839,0.09966,0.048821,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,pr,11,2,0,PER,0.050839,0.050985,0.000146,quants_1024/GPTQ/quants_tc1024_pr,41
wavlm,asr,0,2,0,WER,0.090735,0.09148,0.000745,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,1,2,0,WER,0.090735,0.091015,0.00028,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,2,2,0,WER,0.090735,0.092614,0.001879,quants_1024/GPTQ/quants_tc1024_asr,72
wavlm,asr,3,2,0,WER,0.090735,0.091892,0.001157,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,4,2,0,WER,0.090735,0.093764,0.003029,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,5,2,0,WER,0.090735,0.095914,0.005179,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,6,2,0,WER,0.090735,0.097616,0.006881,quants_1024/GPTQ/quants_tc1024_asr,72
wavlm,asr,7,2,0,WER,0.090735,0.106244,0.015509,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,8,2,0,WER,0.090735,0.128445,0.03771,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,9,2,0,WER,0.090735,0.13855,0.047815,quants_1024/GPTQ/quants_tc1024_asr,72
wavlm,asr,10,2,0,WER,0.090735,0.117421,0.026686,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,asr,11,2,0,WER,0.090735,0.091023,0.000288,quants_1024/GPTQ/quants_tc1024_asr,71
wavlm,ks,0,2,0,KS_ERR,0.036676,0.03765,0.000974,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,1,2,0,KS_ERR,0.036676,0.037326,0.000649,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,2,2,0,KS_ERR,0.036676,0.035054,-0.001623,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,3,2,0,KS_ERR,0.036676,0.039922,0.003246,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,4,2,0,KS_ERR,0.036676,0.038299,0.001623,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,5,2,0,KS_ERR,0.036676,0.038624,0.001947,quants_1024/GPTQ/quants_tc1024_ks,34
wavlm,ks,6,2,0,KS_ERR,0.036676,0.039598,0.002921,quants_1024/GPTQ/quants_tc1024_ks,34
wavlm,ks,7,2,0,KS_ERR,0.036676,0.037001,0.000325,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,8,2,0,KS_ERR,0.036676,0.037975,0.001298,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,9,2,0,KS_ERR,0.036676,0.037975,0.001298,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,10,2,0,KS_ERR,0.036676,0.037975,0.001298,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ks,11,2,0,KS_ERR,0.036676,0.036352,-0.000325,quants_1024/GPTQ/quants_tc1024_ks,35
wavlm,ic,0,2,0,IC_ERR,0.041919,0.044819,0.0029,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,1,2,0,IC_ERR,0.041919,0.045347,0.003427,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,2,2,0,IC_ERR,0.041919,0.043238,0.001318,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,3,2,0,IC_ERR,0.041919,0.04851,0.006591,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,4,2,0,IC_ERR,0.041919,0.044292,0.002373,quants_1024/GPTQ/quants_tc1024_ic,45
wavlm,ic,5,2,0,IC_ERR,0.041919,0.047983,0.006064,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,6,2,0,IC_ERR,0.041919,0.047983,0.006064,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,7,2,0,IC_ERR,0.041919,0.054047,0.012128,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,8,2,0,IC_ERR,0.041919,0.057474,0.015555,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,9,2,0,IC_ERR,0.041919,0.053256,0.011337,quants_1024/GPTQ/quants_tc1024_ic,43
wavlm,ic,10,2,0,IC_ERR,0.041919,0.048774,0.006855,quants_1024/GPTQ/quants_tc1024_ic,44
wavlm,ic,11,2,0,IC_ERR,0.041919,0.048247,0.006327,quants_1024/GPTQ/quants_tc1024_ic,43
wavlm,er,0,2,1,ER_ERR,0.413825,0.426728,0.012903,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,1,2,1,ER_ERR,0.413825,0.409217,-0.004608,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,2,2,1,ER_ERR,0.413825,0.412903,-0.000922,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,3,2,1,ER_ERR,0.413825,0.408295,-0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,4,2,1,ER_ERR,0.413825,0.42212,0.008295,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,5,2,1,ER_ERR,0.413825,0.423963,0.010138,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,6,2,1,ER_ERR,0.413825,0.38894,-0.024885,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,7,2,1,ER_ERR,0.413825,0.426728,0.012903,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,8,2,1,ER_ERR,0.413825,0.419355,0.00553,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,9,2,1,ER_ERR,0.413825,0.432258,0.018433,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,10,2,1,ER_ERR,0.413825,0.423963,0.010138,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,11,2,1,ER_ERR,0.413825,0.402765,-0.01106,quants_1024/GPTQ/quants_tc1024_er_fold1,13
wavlm,er,0,2,2,ER_ERR,0.388074,0.402737,0.014663,quants_1024/GPTQ/quants_tc1024_er_fold2,13
wavlm,er,1,2,2,ER_ERR,0.388074,0.392962,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,13
wavlm,er,2,2,2,ER_ERR,0.388074,0.390029,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,12
wavlm,er,3,2,2,ER_ERR,0.388074,0.399804,0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,12
wavlm,er,4,2,2,ER_ERR,0.388074,0.393939,0.005865,quants_1024/GPTQ/quants_tc1024_er_fold2,12
wavlm,er,5,2,2,ER_ERR,0.388074,0.396872,0.008798,quants_1024/GPTQ/quants_tc1024_er_fold2,12
wavlm,er,6,2,2,ER_ERR,0.388074,0.388074,0.0,quants_1024/GPTQ/quants_tc1024_er_fold2,12
wavlm,er,7,2,2,ER_ERR,0.388074,0.395894,0.00782,quants_1024/GPTQ/quants_tc1024_er_fold2,13
wavlm,er,8,2,2,ER_ERR,0.388074,0.371457,-0.016618,quants_1024/GPTQ/quants_tc1024_er_fold2,13
wavlm,er,9,2,2,ER_ERR,0.388074,0.364614,-0.02346,quants_1024/GPTQ/quants_tc1024_er_fold2,13
wavlm,er,10,2,2,ER_ERR,0.388074,0.415445,0.02737,quants_1024/GPTQ/quants_tc1024_er_fold2,12
wavlm,er,11,2,2,ER_ERR,0.388074,0.380254,-0.00782,quants_1024/GPTQ/quants_tc1024_er_fold2,13
wavlm,er,0,2,3,ER_ERR,0.41616,0.423979,0.007819,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,1,2,3,ER_ERR,0.41616,0.411816,-0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,2,2,3,ER_ERR,0.41616,0.41616,0.0,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,3,2,3,ER_ERR,0.41616,0.43093,0.01477,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,4,2,3,ER_ERR,0.41616,0.427454,0.011295,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,5,2,3,ER_ERR,0.41616,0.446568,0.030408,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,6,2,3,ER_ERR,0.41616,0.424848,0.008688,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,7,2,3,ER_ERR,0.41616,0.428323,0.012163,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,8,2,3,ER_ERR,0.41616,0.419635,0.003475,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,9,2,3,ER_ERR,0.41616,0.423979,0.007819,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,10,2,3,ER_ERR,0.41616,0.434405,0.018245,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,11,2,3,ER_ERR,0.41616,0.420504,0.004344,quants_1024/GPTQ/quants_tc1024_er_fold3,14
wavlm,er,0,2,4,ER_ERR,0.374394,0.379243,0.00485,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,1,2,4,ER_ERR,0.374394,0.370514,-0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,13
wavlm,er,2,2,4,ER_ERR,0.374394,0.382153,0.007759,quants_1024/GPTQ/quants_tc1024_er_fold4,13
wavlm,er,3,2,4,ER_ERR,0.374394,0.368574,-0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,13
wavlm,er,4,2,4,ER_ERR,0.374394,0.375364,0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,13
wavlm,er,5,2,4,ER_ERR,0.374394,0.364694,-0.009699,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,6,2,4,ER_ERR,0.374394,0.373424,-0.00097,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,7,2,4,ER_ERR,0.374394,0.383123,0.008729,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,8,2,4,ER_ERR,0.374394,0.380213,0.00582,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,9,2,4,ER_ERR,0.374394,0.371484,-0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,10,2,4,ER_ERR,0.374394,0.370514,-0.00388,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,11,2,4,ER_ERR,0.374394,0.377304,0.00291,quants_1024/GPTQ/quants_tc1024_er_fold4,12
wavlm,er,0,2,5,ER_ERR,0.357776,0.373892,0.016116,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,1,2,5,ER_ERR,0.357776,0.369863,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,2,2,5,ER_ERR,0.357776,0.364222,0.006446,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,3,2,5,ER_ERR,0.357776,0.369057,0.011281,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,4,2,5,ER_ERR,0.357776,0.367446,0.00967,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,5,2,5,ER_ERR,0.357776,0.363417,0.005641,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,6,2,5,ER_ERR,0.357776,0.368251,0.010475,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,7,2,5,ER_ERR,0.357776,0.370669,0.012893,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,8,2,5,ER_ERR,0.357776,0.369863,0.012087,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,9,2,5,ER_ERR,0.357776,0.365834,0.008058,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,10,2,5,ER_ERR,0.357776,0.352135,-0.005641,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,er,11,2,5,ER_ERR,0.357776,0.356164,-0.001612,quants_1024/GPTQ/quants_tc1024_er_fold5,15
wavlm,asv,0,2,0,EER,0.072269,0.073542,0.001273,quants_1024/GPTQ/quants_tc1024_asv,73
wavlm,asv,1,2,0,EER,0.072269,0.076352,0.004083,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,2,2,0,EER,0.072269,0.082503,0.010233,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,3,2,0,EER,0.072269,0.078049,0.005779,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,4,2,0,EER,0.072269,0.076829,0.00456,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,5,2,0,EER,0.072269,0.074231,0.001962,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,6,2,0,EER,0.072269,0.073648,0.001379,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,7,2,0,EER,0.072269,0.073383,0.001113,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,8,2,0,EER,0.072269,0.073118,0.000848,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,9,2,0,EER,0.072269,0.0728,0.00053,quants_1024/GPTQ/quants_tc1024_asv,71
wavlm,asv,10,2,0,EER,0.072269,0.071898,-0.000371,quants_1024/GPTQ/quants_tc1024_asv,72
wavlm,asv,11,2,0,EER,0.072269,0.071739,-0.00053,quants_1024/GPTQ/quants_tc1024_asv,72
